Total,Tanggal
31,01/04/2024
28,02/04/2024
33,03/04/2024
39,04/04/2024
30,05/04/2024
42,06/04/2024
47,07/04/2024
22,08/04/2024
33,09/04/2024
28,10/04/2024
33,11/04/2024
38,12/04/2024
49,13/04/2024
50,14/04/2024
24,15/04/2024
28,16/04/2024
33,17/04/2024
35,18/04/2024
42,19/04/2024
39,20/04/2024
52,21/04/2024
25,22/04/2024
28,23/04/2024
33,24/04/2024
34,25/04/2024
38,26/04/2024
37,27/04/2024
48,28/04/2024
25,29/04/2024
30,30/04/2024
39,01/05/2024
41,02/05/2024
35,03/05/2024
45,04/05/2024
50,05/05/2024
29,06/05/2024
32,07/05/2024
37,08/05/2024
42,09/05/2024
20,10/05/2024
22,11/05/2024
51,12/05/2024
24,13/05/2024
28,14/05/2024
34,15/05/2024
36,16/05/2024
41,17/05/2024
42,18/05/2024
54,19/05/2024
26,20/05/2024
0,21/05/2024
0,22/05/2024
0,23/05/2024
0,24/05/2024
37,25/05/2024
53,26/05/2024
28,27/05/2024
31,28/05/2024
38,29/05/2024
38,30/05/2024
41,31/05/2024
40,01/06/2024
44,02/06/2024
32,03/06/2024
38,04/06/2024
41,05/06/2024
45,06/06/2024
40,07/06/2024
54,08/06/2024
51,09/06/2024
25,10/06/2024
26,11/06/2024
31,12/06/2024
37,13/06/2024
41,14/06/2024
45,15/06/2024
57,16/06/2024
26,17/06/2024
27,18/06/2024
40,19/06/2024
34,20/06/2024
38,21/06/2024
39,22/06/2024
51,23/06/2024
27,24/06/2024
31,25/06/2024
38,26/06/2024
39,27/06/2024
51,28/06/2024
28,29/06/2024
31,30/06/2024
37,01/07/2024
46,02/07/2024
27,03/07/2024
34,04/07/2024
34,05/07/2024
53,06/07/2024
45,07/07/2024
31,08/07/2024
38,09/07/2024
42,10/07/2024
47,11/07/2024
41,12/07/2024
55,13/07/2024
52,14/07/2024
24,15/07/2024
28,16/07/2024
34,17/07/2024
37,18/07/2024
43,19/07/2024
43,20/07/2024
57,21/07/2024
26,22/07/2024
29,23/07/2024
41,24/07/2024
34,25/07/2024
38,26/07/2024
39,27/07/2024
51,28/07/2024
28,29/07/2024
31,30/07/2024
38,31/07/2024
41,01/08/2024
44,02/08/2024
48,03/08/2024
54,04/08/2024
40,05/08/2024
35,06/08/2024
40,07/08/2024
35,08/08/2024
41,09/08/2024
52,10/08/2024
37,11/08/2024
36,12/08/2024
37,13/08/2024
40,14/08/2024
33,15/08/2024
42,16/08/2024
51,17/08/2024
48,18/08/2024
25,19/08/2024
29,20/08/2024
35,21/08/2024
38,22/08/2024
42,23/08/2024
48,24/08/2024
55,25/08/2024
37,26/08/2024
29,27/08/2024
33,28/08/2024
32,29/08/2024
41,30/08/2024
32,31/08/2024
62,01/09/2024
37,02/09/2024
46,03/09/2024
27,04/09/2024
37,05/09/2024
34,06/09/2024
56,07/09/2024
42,08/09/2024
31,09/09/2024
38,10/09/2024
42,11/09/2024
47,12/09/2024
41,13/09/2024
55,14/09/2024
54,15/09/2024
26,16/09/2024
31,17/09/2024
37,18/09/2024
41,19/09/2024
45,20/09/2024
43,21/09/2024
58,22/09/2024
27,23/09/2024
33,24/09/2024
43,25/09/2024
41,26/09/2024
41,27/09/2024
35,28/09/2024
47,29/09/2024
30,30/09/2024
